TIMESTAMP,TECHNOLOGIES,availabilityFactor
3770,Hydro Water Reservoir,0.9507557289127255
3770,Nuclear,0.691699667353081
3771,Fossil Gas,0.8902153558052435
3771,Fossil Hard coal,0.36436436436436437
3771,Fossil Oil,0.5129606277147261
3771,Hydro Water Reservoir,0.9507557289127255
3771,Nuclear,0.691699667353081
3772,Fossil Gas,0.8902153558052435
3772,Fossil Hard coal,0.36436436436436437
3772,Fossil Oil,0.5129606277147261
3772,Hydro Water Reservoir,0.9507557289127255
3772,Nuclear,0.691699667353081
3773,Fossil Gas,0.8902153558052435
3773,Fossil Hard coal,0.36436436436436437
3773,Fossil Oil,0.5129606277147261
3773,Hydro Water Reservoir,0.9507557289127255
3773,Nuclear,0.7056391572944717
3774,Fossil Gas,0.8902153558052435
3774,Fossil Hard coal,0.36436436436436437
3774,Fossil Oil,0.5129606277147261
3774,Hydro Water Reservoir,0.9507557289127255
3774,Nuclear,0.7056391572944717
3775,Fossil Gas,0.8902153558052435
3775,Fossil Hard coal,0.36436436436436437
3775,Fossil Oil,0.5129606277147261
3775,Hydro Water Reservoir,0.9327157484154072
3775,Nuclear,0.7197370505306511
3776,Fossil Gas,0.8902153558052435
3776,Fossil Hard coal,0.36436436436436437
3776,Fossil Oil,0.5129606277147261
3776,Hydro Water Reservoir,0.9327157484154072
3776,Nuclear,0.7197370505306511
3777,Fossil Gas,0.8902153558052435
3777,Fossil Hard coal,0.36436436436436437
3777,Fossil Oil,0.5129606277147261
3777,Hydro Water Reservoir,0.9327157484154072
3777,Nuclear,0.7197370505306511
3778,Fossil Gas,0.8902153558052435
3778,Fossil Hard coal,0.36436436436436437
3778,Fossil Oil,0.5129606277147261
3778,Hydro Water Reservoir,0.9327157484154072
3778,Nuclear,0.7197370505306511
3779,Fossil Gas,0.8902153558052435
3779,Fossil Hard coal,0.36436436436436437
3779,Fossil Oil,0.5129606277147261
3779,Hydro Water Reservoir,0.9327157484154072
3779,Nuclear,0.7197370505306511
3780,Fossil Gas,0.8902153558052435
3780,Fossil Hard coal,0.36436436436436437
3780,Fossil Oil,0.5129606277147261
3780,Hydro Water Reservoir,0.9327157484154072
3780,Nuclear,0.7197370505306511
3781,Fossil Gas,0.8902153558052435
3781,Fossil Hard coal,0.36436436436436437
3781,Fossil Oil,0.5129606277147261
3781,Hydro Water Reservoir,0.9183325207215992
3781,Nuclear,0.7197370505306511
3782,Fossil Gas,0.8902153558052435
3782,Fossil Hard coal,0.36436436436436437
3782,Fossil Oil,0.5129606277147261
3782,Hydro Water Reservoir,0.9183325207215992
3782,Nuclear,0.7197370505306511
3783,Fossil Gas,0.8902153558052435
3783,Fossil Hard coal,0.36436436436436437
3783,Fossil Oil,0.5129606277147261
3783,Hydro Water Reservoir,0.9327157484154072
3783,Nuclear,0.7197370505306511
3784,Fossil Gas,0.8902153558052435
3784,Fossil Hard coal,0.36436436436436437
3784,Fossil Oil,0.5129606277147261
3784,Hydro Water Reservoir,0.9327157484154072
3784,Nuclear,0.7197370505306511
3785,Fossil Gas,0.8902153558052435
3785,Fossil Hard coal,0.36436436436436437
3785,Fossil Oil,0.5129606277147261
3785,Hydro Water Reservoir,0.9327157484154072
3785,Nuclear,0.7197370505306511
3786,Fossil Gas,0.8902153558052435
3786,Fossil Hard coal,0.36436436436436437
3786,Fossil Oil,0.5129606277147261
3786,Hydro Water Reservoir,0.9327157484154072
3786,Nuclear,0.7197370505306511
3787,Fossil Gas,0.8902153558052435
3787,Fossil Hard coal,0.36436436436436437
3787,Fossil Oil,0.5129606277147261
3787,Hydro Water Reservoir,0.9327157484154072
3787,Nuclear,0.7197370505306511
3788,Fossil Gas,0.8902153558052435
3788,Fossil Hard coal,0.36436436436436437
3788,Fossil Oil,0.5129606277147261
3788,Hydro Water Reservoir,0.9327157484154072
3788,Nuclear,0.7197370505306511
3789,Fossil Gas,0.8902153558052435
3789,Fossil Hard coal,0.36436436436436437
3789,Fossil Oil,0.5129606277147261
3789,Hydro Water Reservoir,0.9327157484154072
3789,Nuclear,0.7197370505306511
3790,Fossil Gas,0.8902153558052435
3790,Fossil Hard coal,0.36436436436436437
3790,Fossil Oil,0.5129606277147261
3790,Hydro Water Reservoir,0.9327157484154072
3790,Nuclear,0.7197370505306511
3791,Fossil Gas,0.8902153558052435
3791,Fossil Hard coal,0.36436436436436437
3791,Fossil Oil,0.5129606277147261
3791,Hydro Water Reservoir,0.9327157484154072
3791,Nuclear,0.7197370505306511
3792,Fossil Gas,0.8902153558052435
3792,Fossil Hard coal,0.36436436436436437
3792,Fossil Oil,0.5129606277147261
3792,Hydro Water Reservoir,0.9327157484154072
3792,Nuclear,0.7197370505306511
3793,Fossil Gas,0.8902153558052435
3793,Fossil Hard coal,0.36436436436436437
3793,Fossil Oil,0.5129606277147261
3793,Hydro Water Reservoir,0.9327157484154072
3793,Nuclear,0.7197370505306511
3794,Fossil Gas,0.8902153558052435
3794,Fossil Hard coal,0.36436436436436437
3794,Fossil Oil,0.5129606277147261
3794,Hydro Water Reservoir,0.9327157484154072
3794,Nuclear,0.7197370505306511
3795,Fossil Gas,0.8902153558052435
3795,Fossil Hard coal,0.36436436436436437
3795,Fossil Oil,0.5129606277147261
3795,Hydro Water Reservoir,0.9327157484154072
3795,Nuclear,0.7197370505306511
3796,Fossil Gas,0.8902153558052435
3796,Fossil Hard coal,0.36436436436436437
3796,Fossil Oil,0.5129606277147261
3796,Hydro Water Reservoir,0.9327157484154072
3796,Nuclear,0.7197370505306511
3797,Fossil Gas,0.8902153558052435
3797,Fossil Hard coal,0.36436436436436437
3797,Fossil Oil,0.5129606277147261
3797,Hydro Water Reservoir,0.9327157484154072
3797,Nuclear,0.7197370505306511
3798,Fossil Gas,0.8902153558052435
3798,Fossil Hard coal,0.36436436436436437
3798,Fossil Oil,0.5129606277147261
3798,Hydro Water Reservoir,0.9327157484154072
3798,Nuclear,0.7197370505306511
3799,Fossil Gas,0.8706694756554307
3799,Fossil Hard coal,0.36436436436436437
3799,Fossil Oil,0.5129606277147261
3799,Hydro Water Reservoir,0.9327157484154072
3799,Nuclear,0.7197370505306511
3800,Fossil Gas,0.8706694756554307
3800,Fossil Hard coal,0.36436436436436437
3800,Fossil Oil,0.5129606277147261
3800,Hydro Water Reservoir,0.9327157484154072
3800,Nuclear,0.7197370505306511
3801,Fossil Gas,0.8902153558052435
3801,Fossil Hard coal,0.36436436436436437
3801,Fossil Oil,0.5129606277147261
3801,Hydro Water Reservoir,0.9327157484154072
3801,Nuclear,0.7197370505306511
3802,Fossil Gas,0.8902153558052435
3802,Fossil Hard coal,0.36436436436436437
3802,Fossil Oil,0.5129606277147261
3802,Hydro Water Reservoir,0.9327157484154072
3802,Nuclear,0.7197370505306511
3803,Fossil Gas,0.8902153558052435
3803,Fossil Hard coal,0.36436436436436437
3803,Fossil Oil,0.5129606277147261
3803,Hydro Water Reservoir,0.9327157484154072
3803,Nuclear,0.7197370505306511
3804,Fossil Gas,0.8902153558052435
3804,Fossil Hard coal,0.36436436436436437
3804,Fossil Oil,0.5129606277147261
3804,Hydro Water Reservoir,0.9327157484154072
3804,Nuclear,0.7197370505306511
3805,Fossil Gas,0.8902153558052435
3805,Fossil Hard coal,0.36436436436436437
3805,Fossil Oil,0.5129606277147261
3805,Hydro Water Reservoir,0.9327157484154072
3805,Nuclear,0.7197370505306511
3806,Fossil Gas,0.8902153558052435
3806,Fossil Hard coal,0.36436436436436437
3806,Fossil Oil,0.5129606277147261
3806,Hydro Water Reservoir,0.9327157484154072
3806,Nuclear,0.7197370505306511
3807,Fossil Gas,0.8902153558052435
3807,Fossil Hard coal,0.36436436436436437
3807,Fossil Oil,0.5129606277147261
3807,Hydro Water Reservoir,0.9327157484154072
3807,Nuclear,0.7197370505306511
3808,Fossil Gas,0.8902153558052435
3808,Fossil Hard coal,0.36436436436436437
3808,Fossil Oil,0.5129606277147261
3808,Hydro Water Reservoir,0.9327157484154072
3808,Nuclear,0.7197370505306511
3809,Fossil Gas,0.8902153558052435
3809,Fossil Hard coal,0.36436436436436437
3809,Fossil Oil,0.5129606277147261
3809,Hydro Water Reservoir,0.9327157484154072
3809,Nuclear,0.7197370505306511
3810,Fossil Gas,0.8902153558052435
3810,Fossil Hard coal,0.36436436436436437
3810,Fossil Oil,0.5129606277147261
3810,Hydro Water Reservoir,0.9327157484154072
3810,Nuclear,0.7197370505306511
3811,Fossil Gas,0.8902153558052435
3811,Fossil Hard coal,0.36436436436436437
3811,Fossil Oil,0.5129606277147261
3811,Hydro Water Reservoir,0.9327157484154072
3811,Nuclear,0.7197370505306511
3812,Fossil Gas,0.8902153558052435
3812,Fossil Hard coal,0.36436436436436437
3812,Fossil Oil,0.5129606277147261
3812,Hydro Water Reservoir,0.9327157484154072
3812,Nuclear,0.7197370505306511
3813,Fossil Gas,0.8902153558052435
3813,Fossil Hard coal,0.36436436436436437
3813,Fossil Oil,0.5129606277147261
3813,Hydro Water Reservoir,0.9327157484154072
3813,Nuclear,0.7197370505306511
3814,Fossil Gas,0.8902153558052435
3814,Fossil Hard coal,0.36436436436436437
3814,Fossil Oil,0.5129606277147261
3814,Hydro Water Reservoir,0.9327157484154072
3814,Nuclear,0.7197370505306511
3815,Fossil Gas,0.8902153558052435
3815,Fossil Hard coal,0.36436436436436437
3815,Fossil Oil,0.5129606277147261
3815,Hydro Water Reservoir,0.9327157484154072
3815,Nuclear,0.7197370505306511
3816,Fossil Gas,0.8902153558052435
3816,Fossil Hard coal,0.36436436436436437
3816,Fossil Oil,0.5129606277147261
3816,Hydro Water Reservoir,0.9327157484154072
3816,Nuclear,0.7197370505306511
3817,Fossil Gas,0.8902153558052435
3817,Fossil Hard coal,0.36436436436436437
3817,Fossil Oil,0.5129606277147261
3817,Hydro Water Reservoir,0.9327157484154072
3817,Nuclear,0.7197370505306511
3818,Fossil Gas,0.8902153558052435
3818,Fossil Hard coal,0.36436436436436437
3818,Fossil Oil,0.5129606277147261
3818,Hydro Water Reservoir,0.9327157484154072
3818,Nuclear,0.7197370505306511
3819,Fossil Gas,0.8902153558052435
3819,Fossil Hard coal,0.36436436436436437
3819,Fossil Oil,0.5129606277147261
3819,Hydro Water Reservoir,0.9327157484154072
3819,Nuclear,0.7197370505306511
3820,Fossil Gas,0.8902153558052435
3820,Fossil Hard coal,0.36436436436436437
3820,Fossil Oil,0.5129606277147261
3820,Hydro Water Reservoir,0.9327157484154072
3820,Nuclear,0.7197370505306511
3821,Fossil Gas,0.8902153558052435
3821,Fossil Hard coal,0.36436436436436437
3821,Fossil Oil,0.5129606277147261
3821,Hydro Water Reservoir,0.9327157484154072
3821,Nuclear,0.7197370505306511
3822,Fossil Gas,0.8402387640449438
3822,Fossil Hard coal,0.36436436436436437
3822,Fossil Oil,0.5129606277147261
3822,Hydro Water Reservoir,0.9327157484154072
3822,Nuclear,0.7197370505306511
3823,Fossil Gas,0.8402387640449438
3823,Fossil Hard coal,0.36436436436436437
3823,Fossil Oil,0.5129606277147261
3823,Hydro Water Reservoir,0.9327157484154072
3823,Nuclear,0.7197370505306511
3824,Fossil Gas,0.8402387640449438
